,author_id
1033,A1006646360
1034,A100665253
1035,A100665332
1036,A100666139
1037,A1006680045
1038,A100668198
1039,A1006682098
1040,A1006685893
1041,A1006701184
1042,A100671067
1043,A100671596
1044,A100673704
1045,A1006738687
1046,A1006739386
1047,A1006744717
1048,A100674783
1049,A100675759
1050,A100676508
1051,A100677516
1052,A100679840
1053,A100680529
1054,A100681721
1055,A100681972
1056,A100682889
1057,A1006829996
1058,A100683313
1059,A1006840565
1060,A1006865469
1061,A100688862
1062,A100690888
1063,A1006910321
1064,A100691527
1065,A100692019
1066,A1006932716
1067,A1006934699
1068,A10069349
1069,A100693851
1070,A100694428
1071,A10069497
1072,A1006962878
1073,A100696575
1074,A100697996
1075,A1006991203
1076,A1006991921
1077,A1006999465
1078,A100700784
1079,A100703358
1080,A100703400
1081,A1007043970
1082,A100704927
1083,A100706534
1084,A1007073319
1085,A100708198
1086,A1007098672
1087,A100710908
1088,A1007112605
1089,A1007125711
1090,A100713066
1091,A10071366
1092,A1007141333
1093,A100714259
1094,A100714371
1095,A100715932
1096,A1007163877
1097,A100716409
1098,A100716422
1099,A1007164802
1100,A1007166871
1101,A1007167497
1102,A100716999
1103,A1007171886
1104,A1007179021
1105,A1007181779
1106,A10071845
1107,A1007195213
1108,A1007197463
1109,A100719806
1110,A1007202024
1111,A1007205972
1112,A1007211580
1113,A100721418
1114,A1007244034
1115,A100726065
1116,A100726572
1117,A1007277141
1118,A100731272
1119,A1007315270
1120,A1007318635
1121,A100732473
1122,A10073314
1123,A1007335878
1124,A100733682
1125,A100734421
1126,A1007347335
1127,A100735276
1128,A100735327
1129,A100736479
1130,A1007364928
1131,A1007365750
1132,A1007372
1133,A1007375257
1134,A1007385196
1135,A100740361
1136,A1007405722
1137,A1007406827
1138,A10074148
1139,A1007415406
1140,A100742084
1141,A100742358
1142,A100742963
1143,A1007431464
1144,A100746532
1145,A100747324
1146,A100748767
1147,A1007489724
1148,A1007497441
1149,A1007499644
1150,A1007530055
1151,A100753039
1152,A100753504
1153,A1007537476
1154,A100754343
1155,A100754683
1156,A100754817
1157,A100756104
1158,A100756414
1159,A100757837
1160,A100758122
1161,A1007601914
1162,A1007609068
1163,A1007624576
1164,A1007629015
1165,A1007642408
1166,A1007653030
1167,A100767537
1168,A1007678855
1169,A100768562
1170,A1007693964
1171,A100769422
1172,A100769690
1173,A1007698402
1174,A100771224
1175,A1007719677
1176,A100773537
1177,A1007744128
1178,A100775208
1179,A1007764486
1180,A1007767072
1181,A1007774932
1182,A1007776274
1183,A10077771
1184,A1007792952
1185,A1007802877
1186,A1007811767
1187,A100782679
1188,A1007853980
1189,A1007854762
1190,A100787336
1191,A1007876167
1192,A100787792
1193,A10078791
1194,A1007887842
1195,A1007913745
1196,A100791463
1197,A1007915466
1198,A1007917903
1199,A1007918721
1200,A10079244
1201,A100793356
1202,A100795900
1203,A1007970556
1204,A100798240
1205,A100800656
1206,A1008006822
1207,A1008007327
1208,A100802309
1209,A100803531
1210,A100803692
1211,A1008050281
1212,A1008060227
1213,A1008061727
1214,A10080627
1215,A1008064
1216,A1008065899
1217,A100810856
1218,A100811632
1219,A100812586
1220,A1008133817
1221,A1008148242
1222,A1008157115
1223,A100816567
1224,A1008171782
1225,A1008177083
1226,A100817749
1227,A1008190009
1228,A1008202850
1229,A100820336
1230,A100823782
1231,A1008239884
1232,A1008245375
1233,A100824575
1234,A100824768
1235,A10082637
1236,A1008268033
1237,A1008272481
1238,A100827933
1239,A1008284202
1240,A100828955
1241,A1008309793
1242,A1008324266
1243,A100832446
1244,A1008337928
1245,A100834104
1246,A100834853
1247,A1008348576
1248,A100837053
1249,A100838333
1250,A10083886
1251,A1008397168
1252,A1008399078
1253,A1008399291
1254,A1008406519
1255,A1008410117
1256,A1008412759
1257,A100841583
1258,A100842568
1259,A100844862
1260,A100846092
1261,A100846206
1262,A1008468141
1263,A1008482566
1264,A100850775
1265,A10085080
1266,A1008513394
1267,A1008519824
1268,A100852319
1269,A1008527861
1270,A1008531525
1271,A1008548269
1272,A1008553553
1273,A1008554382
1274,A100857126
1275,A1008571750
1276,A1008574300
1277,A100857772
1278,A1008600864
1279,A100860484
1280,A1008607922
1281,A1008613374
1282,A100862830
1283,A100863256
1284,A100864054
1285,A100864498
1286,A1008657491
1287,A1008664819
1288,A1008671723
1289,A1008692033
1290,A100869718
1291,A1008698935
1292,A1008704562
1293,A100873162
1294,A100873588
1295,A1008736586
1296,A1008749375
1297,A100876135
1298,A10087630
1299,A100876659
1300,A100877483
1301,A1008781919
1302,A100878411
1303,A1008786439
1304,A100878660
1305,A1008794398
1306,A1008798630
1307,A1008802777
1308,A100880330
1309,A100881657
1310,A1008819941
1311,A1008825296
1312,A100885492
1313,A100886235
1314,A1008879374
1315,A100889158
1316,A1008896082
1317,A100890607
1318,A100891761
1319,A1008927677
1320,A1008928299
1321,A1008942553
1322,A100894541
1323,A1008948722
1324,A1008959386
1325,A1008969434
1326,A100898321
1327,A1009000261
1328,A1009005658
1329,A1009005889
1330,A100902310
1331,A10090232
1332,A100902620
1333,A1009031423
1334,A1009031955
1335,A100903632
1336,A100904004
1337,A1009042105
1338,A100904599
1339,A1009048930
1340,A1009060766
1341,A100906423
1342,A100906785
1343,A1009069212
1344,A1009078193
1345,A100908830
1346,A100908972
1347,A1009098188
1348,A1009098654
1349,A1009103189
1350,A100911067
1351,A1009136735
1352,A100913981
1353,A1009149263
1354,A1009152536
1355,A100916624
1356,A1009168574
1357,A1009170438
1358,A1009181140
1359,A100918231
1360,A100918275
1361,A100921431
1362,A100922792
1363,A1009228361
1364,A100922928
1365,A1009241722
1366,A100924317
1367,A1009247741
1368,A100924900
1369,A100925711
1370,A1009266022
1371,A100926834
1372,A100927149
1373,A1009273029
1374,A1009273511
1375,A100928688
1376,A1009294640
1377,A100931121
1378,A1009316200
1379,A10093190
1380,A1009319174
1381,A100932859
1382,A100933169
1383,A1009337610
1384,A1009343116
1385,A10093460
1386,A100934990
1387,A1009350544
1388,A1009359986
1389,A1009361666
1390,A1009364356
1391,A100937220
1392,A1009372333
1393,A1009373005
1394,A100937341
1395,A1009388029
1396,A100939713
1397,A100939962
1398,A10094018
1399,A100940550
1400,A1009411421
1401,A1009417855
1402,A1009418105
1403,A1009425592
1404,A100942675
1405,A1009430419
1406,A1009442267
1407,A100944461
1408,A100944515
1409,A1009454455
1410,A100946220
1411,A1009467567
1412,A1009474797
1413,A100947687
1414,A1009484853
1415,A100948727
1416,A100950925
1417,A1009519881
1418,A100952311
1419,A1009523334
1420,A100953137
1421,A100953751
1422,A1009548971
1423,A100955848
1424,A100956017
1425,A100956075
1426,A1009587458
1427,A100959793
1428,A1009598647
1429,A1009609425
1430,A100961276
1431,A100961581
1432,A100962695
1433,A1009627946
1434,A10096285
1435,A1009637333
1436,A1009642561
1437,A100964548
1438,A1009658001
1439,A10096603
1440,A1009663929
1441,A1009683881
1442,A1009685367
1443,A100968706
1444,A1009688407
1445,A1009695384
1446,A1009701639
1447,A1009706517
1448,A100971090
1449,A100971199
1450,A1009716157
1451,A1009718529
1452,A100971925
1453,A100972044
1454,A100972184
1455,A1009723475
1456,A100972489
1457,A1009738208
1458,A100974150
1459,A100974476
1460,A1009751136
1461,A1009761877
1462,A1009769325
1463,A1009769944
1464,A1009780882
1465,A100978530
1466,A100979248
1467,A100979455
1468,A100979587
1469,A100981689
1470,A1009822771
1471,A100982302
1472,A1009844280
1473,A1009860149
1474,A10098659
1475,A100986691
1476,A1009868759
1477,A1009883896
1478,A100988613
1479,A1009888500
1480,A10098932
1481,A100990651
1482,A100990817
1483,A1009915239
1484,A1009917211
1485,A100991899
1486,A1009920504
1487,A1009923832
1488,A100994052
1489,A100994573
1490,A100994735
1491,A1009947697
1492,A1009949087
1493,A100995048
1494,A1009954435
1495,A1009955055
1496,A1009957319
1497,A1009957530
1498,A100996114
1499,A100996488
1500,A1009968576
1501,A100997986
1502,A1009992195
1503,A101000189
1504,A1010006319
1505,A101000637
1506,A1010009591
1507,A1010015648
1508,A1010028034
1509,A1010030231
1510,A101004611
1511,A101005919
1512,A10100693
1513,A1010069406
1514,A1010071733
1515,A1010088532
1516,A1010094660
1517,A101009586
1518,A101010267
1519,A1010105492
1520,A1010112126
1521,A1010120763
1522,A1010121227
1523,A101012555
1524,A101012714
1525,A101015483
1526,A1010154973
1527,A1010163154
1528,A1010189731
1529,A101019941
1530,A1010207595
1531,A1010211901
1532,A1010227919
1533,A101022976
1534,A1010232445
1535,A101025800
1536,A1010278736
1537,A1010290694
1538,A101029100
1539,A1010307174
1540,A10103095
1541,A101031001
1542,A101032099
1543,A101032730
1544,A1010332066
1545,A1010353486
1546,A1010359623
1547,A101036458
1548,A1010367406
1549,A1010379553
1550,A101039742
1551,A101042104
1552,A101043871
1553,A1010439074
1554,A101044550
1555,A1010451009
1556,A1010460834
1557,A1010474433
1558,A10104765
1559,A1010476706
1560,A1010485990
1561,A101048850
1562,A101050094
1563,A1010505375
1564,A1010511456
1565,A1010515834
1566,A101051730
1567,A1010524495
1568,A101053282
1569,A1010551179
1570,A101055349
1571,A1010558233
1572,A1010560183
1573,A101056217
1574,A101056312
1575,A101057047
1576,A1010586966
1577,A1010589222
1578,A101059059
1579,A1010608412
1580,A101061579
1581,A101062941
1582,A1010629556
1583,A1010637950
1584,A101063990
1585,A101066578
1586,A1010668106
1587,A1010677798
1588,A1010678883
1589,A101068053
1590,A101068160
1591,A1010695277
1592,A101071438
1593,A101071923
1594,A1010721954
1595,A1010722082
1596,A101072349
1597,A101072354
1598,A101072697
1599,A1010729700
1600,A101073189
1601,A1010742861
1602,A10107432
1603,A101074555
1604,A1010756607
1605,A1010758706
1606,A101076087
1607,A101076526
1608,A101076708
1609,A101077067
1610,A101078874
1611,A1010796029
1612,A1010808883
1613,A1010813668
1614,A1010819100
1615,A1010832225
1616,A101083245
1617,A1010848976
1618,A101085355
1619,A1010858584
1620,A1010858853
1621,A1010862799
1622,A101086282
1623,A10108648
1624,A101086844
1625,A101087226
1626,A101088874
1627,A1010894982
1628,A1010903443
1629,A1010909434
1630,A101091082
1631,A101091276
1632,A101091925
1633,A101092268
1634,A1010924724
1635,A1010930316
1636,A1010932111
1637,A1010937383
1638,A101094126
1639,A1010941531
1640,A101094281
1641,A1010947449
1642,A101095110
1643,A1010966023
1644,A1010982006
1645,A1010986751
1646,A1010994093
1647,A1011006562
1648,A1011020010
1649,A1011029
1650,A1011029636
1651,A101102989
1652,A101103535
1653,A1011048105
1654,A1011048487
1655,A1011049416
1656,A1011054616
1657,A101105636
1658,A1011058832
1659,A1011069762
1660,A1011078021
1661,A101111142
1662,A101111597
1663,A101111735
1664,A101111760
1665,A1011119762
1666,A101112606
1667,A1011127227
1668,A101113423
1669,A101113814
1670,A101114161
1671,A1011159230
1672,A101116431
1673,A1011166988
1674,A101116967
1675,A101117111
1676,A101117278
1677,A101118404
1678,A1011189907
1679,A1011196645
1680,A101120289
1681,A1011213051
1682,A10112205
1683,A101122514
1684,A101124490
1685,A1011247586
1686,A101124893
1687,A1011252619
1688,A1011262503
1689,A101127431
1690,A101128277
1691,A101128570
1692,A1011291032
1693,A101129865
1694,A101130019
1695,A1011314392
1696,A1011325561
1697,A1011364489
1698,A1011380366
1699,A101140292
1700,A1011406154
1701,A1011419955
1702,A101143046
1703,A101143749
1704,A101147562
1705,A1011478956
1706,A1011481497
1707,A1011484080
1708,A1011485473
1709,A1011485584
1710,A101148630
1711,A1011486691
1712,A1011488080
1713,A101149164
1714,A101149256
1715,A1011493889
1716,A101150566
1717,A101152614
1718,A1011542313
1719,A1011547175
1720,A1011568361
1721,A1011569637
1722,A1011580405
1723,A101160378
1724,A101161189
1725,A101162703
1726,A1011632226
1727,A101164592
1728,A101165724
1729,A1011659725
1730,A101166467
1731,A101167454
1732,A101168508
1733,A1011685324
1734,A1011686243
1735,A1011688432
1736,A101169079
1737,A101169452
1738,A101170229
1739,A101170484
1740,A101171032
1741,A101171190
1742,A101171633
1743,A101172405
1744,A1011729714
1745,A101173067
1746,A1011734083
1747,A1011742574
1748,A1011750912
1749,A101175523
1750,A1011759385
1751,A101176356
1752,A1011763623
1753,A101176408
1754,A1011767089
1755,A101177326
1756,A101177533
1757,A1011783301
1758,A1011790192
1759,A1011805395
1760,A101181117
1761,A1011813480
1762,A1011821220
1763,A1011838670
1764,A1011840367
1765,A101184835
1766,A1011849543
1767,A1011862360
1768,A1011873808
1769,A101188360
1770,A1011884458
1771,A1011894765
1772,A101190658
1773,A1011909121
1774,A1011911806
1775,A1011913330
1776,A101191336
1777,A101192055
1778,A1011934419
1779,A101194970
1780,A1011949966
1781,A101195917
1782,A101195942
1783,A1011970927
1784,A101197194
1785,A1011972285
1786,A1011972381
1787,A1011979134
1788,A101198277
1789,A1011996033
1790,A1011997813
1791,A1012002681
1792,A101201105
1793,A1012019449
1794,A1012020213
1795,A101202250
1796,A101202902
1797,A101204274
1798,A101204515
1799,A101204585
1800,A101204867
1801,A1012060257
1802,A101206120
1803,A1012073237
1804,A101207931
1805,A1012099607
1806,A101210217
1807,A1012118420
1808,A1012120899
1809,A1012126838
1810,A1012127417
1811,A101212870
1812,A10121319
1813,A101214322
1814,A101214527
1815,A101215302
1816,A1012161328
1817,A101217613
1818,A10121951
1819,A1012201995
1820,A101220307
1821,A101221004
1822,A101221071
1823,A1012214646
1824,A101221710
1825,A1012217812
1826,A101222094
1827,A101222655
1828,A10122325
1829,A101224211
1830,A1012246557
1831,A101225238
1832,A1012255705
1833,A1012256790
1834,A101226589
1835,A1012274295
1836,A1012282509
1837,A101229389
1838,A1012294088
1839,A101229699
1840,A101230078
1841,A101232149
1842,A1012335806
1843,A1012336885
1844,A1012339971
1845,A1012351197
1846,A101235476
1847,A1012362206
1848,A1012368340
1849,A101237258
1850,A1012375272
1851,A1012380970
1852,A101238302
1853,A1012384919
1854,A1012388717
1855,A1012414559
1856,A101241895
1857,A101242440
1858,A101242465
1859,A1012432073
1860,A1012439616
1861,A1012442059
1862,A1012451751
1863,A1012455954
1864,A101246702
1865,A101247451
1866,A1012478477
1867,A101249219
1868,A1012493801
1869,A1012494647
1870,A101250237
1871,A1012521775
1872,A101253226
1873,A1012532962
1874,A101253743
1875,A1012539364
1876,A101255388
1877,A101255510
1878,A101256469
1879,A10125788
1880,A1012584255
1881,A1012591322
1882,A1012601322
1883,A1012602577
1884,A1012620553
1885,A101262108
1886,A101262899
1887,A1012633294
1888,A101263349
1889,A1012634102
1890,A1012649425
1891,A101265192
1892,A101266505
1893,A1012668243
1894,A101267526
1895,A1012683572
1896,A1012693568
1897,A101270323
1898,A1012718660
1899,A1012722686
1900,A1012733905
1901,A101273899
1902,A101274902
1903,A101277271
1904,A1012775935
1905,A101278196
1906,A1012783444
1907,A1012787977
1908,A101279588
1909,A101280830
1910,A1012815881
1911,A1012817769
1912,A1012819373
1913,A101282276
1914,A101283182
1915,A1012835898
1916,A1012841344
1917,A1012856113
1918,A101287256
1919,A101287496
1920,A1012886586
1921,A101288935
1922,A1012905225
1923,A101292279
1924,A1012932054
1925,A1012965188
1926,A1012965491
1927,A101297627
1928,A1012976495
1929,A1012978037
1930,A1012984641
1931,A1012996839
1932,A10130069
1933,A101302463
1934,A1013036732
1935,A101303892
1936,A101304421
1937,A101304484
1938,A101305018
1939,A101305341
1940,A1013062473
1941,A101307122
1942,A101307478
1943,A1013075578
1944,A10130844
1945,A1013084851
1946,A101308978
1947,A101309241
1948,A101309648
1949,A101311612
1950,A1013117695
1951,A1013124704
1952,A101313455
1953,A101315951
1954,A101316341
1955,A101317915
1956,A1013187372
1957,A101319827
1958,A1013201036
1959,A1013212797
1960,A1013237153
1961,A1013240388
1962,A1013250222
1963,A101325449
1964,A1013254843
1965,A101325574
1966,A1013258029
1967,A1013261166
1968,A101326777
1969,A101327206
1970,A1013277428
1971,A1013279621
1972,A101328632
1973,A1013305147
1974,A101331264
1975,A101331585
1976,A101331815
1977,A1013325649
1978,A1013328093
1979,A101332956
1980,A10133430
1981,A101335344
1982,A1013368272
1983,A101337481
1984,A101337671
1985,A101338556
1986,A1013389924
1987,A1013394753
1988,A101339921
1989,A1013404079
1990,A101340959
1991,A1013410316
1992,A1013436156
1993,A1013440202
1994,A1013441922
1995,A1013460070
1996,A1013461192
1997,A1013465156
1998,A101347461
1999,A1013493503
